,title,dates,place,description
127,"🎹 Concerti in libreria - Kurs, Live`
",10.01.2025 | 19:30 - 21:30,"Prinz Zaum, Bari (BA)

Kurs è un progetto di musica industrial italiano. La sua attuale struttura racchiude diverse forme d’arte che spaziano dalla musica alla narrativa sequenziale. 

https://www.instagram.com/kurs_music/ 

Nel 2021 Kurs esordisce col disco “Muter”: storia cyberpunk con ambientazioni distopiche. La musica è caratterizzata dalla tecnica di re-sampling, ossia la manipolazione di sample fino a farlo sembrare suoni a sé stanti.
Nel 2024, è il turno della discesa nell’incubo di “Dreamer”, l’incubo della propria morte, con sonorità meno criptiche e più caratterizzate da voci stratificate, tappeti musicali elettronici e veri e propri violini.","
Kurs è un progetto di musica industrial italiano. La sua attuale struttura racchiude diverse forme d’arte che spaziano dalla musica alla narrativa sequenziale. 

https://www.instagram.com/kurs_music/ 

Nel 2021 Kurs esordisce col disco “Muter”: storia cyberpunk con ambientazioni distopiche. La musica è caratterizzata dalla tecnica di re-sampling, ossia la manipolazione di sample fino a farlo sembrare suoni a sé stanti.
Nel 2024, è il turno della discesa nell’incubo di “Dreamer”, l’incubo della propria morte, con sonorità meno criptiche e più caratterizzate da voci stratificate, tappeti musicali elettronici e veri e propri violini."
128,🎥 Tra cinema e arte - Talk sulle immagini,12.01.2025 | 18:30 - 22:30,"Exviri, Noicattaro (BA)

Alla presentazione del saggio ""La costruzione triadica dell’immagine"" seguirà la proiezione di ""Vivremo nelle pareti"", scritto e diretto da Rocco Anelli. Obbligatoria la prenotazione al link pubblicato sulla pagina Instagram di ExViri","
Alla presentazione del saggio ""La costruzione triadica dell’immagine"" seguirà la proiezione di ""Vivremo nelle pareti"", scritto e diretto da Rocco Anelli. Obbligatoria la prenotazione al link pubblicato sulla pagina Instagram di ExViri"
129,"🎭 Stand-Up EkòMedy - Special Guest + Open Mic`
",05.01.2025 | 20:00 - 21:00,"Ekoinè Ri-Pub, Bari (BA)

Torna la rassegna di stand up all’Ekoinè con un nuovo ospite speciale. L’evento è gratuito, posti disponibili seduti ma anche in piedi, è a Bari e il giorno dopo è anche festa. Che volete di più? Ridere? 😛","
Torna la rassegna di stand up all’Ekoinè con un nuovo ospite speciale. L’evento è gratuito, posti disponibili seduti ma anche in piedi, è a Bari e il giorno dopo è anche festa. Che volete di più? Ridere? 😛"
130,🎹 I heard it through the grapevine - Secolare Festival e Fedeli Alla Vigna,05.01.2025 | 11:00 - 14:00,"Fedeli alla Vigna, via Andria 6, Corato (Ba)

✌🏼 Non c'è 2 senza 3 e le feste vanno chiuse in bellezza, no?

E allora ecco il terzo appuntamento di ""I heard it through the grapevine"" con Mice alla selecta musicale e Fedeli Alla Vigna a quella vinicola.

📌Domenica 5 gennaio dalle ore 11.00 👉🏼 aperitivo Secolare Festival feat Fedeli Alla Vigna

Ci vediamo a Fedeli alla Vigna in via Andria 6/8, Corato. L'ingresso è libero: venite carichi di balletti e buoni propositi per l'anno nuovo ❤️","
✌🏼 Non c'è 2 senza 3 e le feste vanno chiuse in bellezza, no?

E allora ecco il terzo appuntamento di ""I heard it through the grapevine"" con Mice alla selecta musicale e Fedeli Alla Vigna a quella vinicola.

📌Domenica 5 gennaio dalle ore 11.00 👉🏼 aperitivo Secolare Festival feat Fedeli Alla Vigna

Ci vediamo a Fedeli alla Vigna in via Andria 6/8, Corato. L'ingresso è libero: venite carichi di balletti e buoni propositi per l'anno nuovo ❤️"
131,"🎹 FUNDRAISING PARTY`
",03.01.2025 | 22:30 - 04.01.2025 | 02:30,"Bread&Roses, Bari, via Amendola 189/a

Finite (quasi) le feste, e lasciandoci alle spalle questa bellissima 5ª edizione del Manine di Lucertolona Fest è il momento di rilassarsi e chiudere in bellezza:
✨DOMANI✨ vi aspettiamo al Bread&Roses per una serata tutta in vinile!

Dal @talomedz.records (locale/negozio di vinili e luogo di incontro x musicist) saranno con noi Ghiyassodin, Giuls e Talimedz per una selezione di vinili, perfetta per staccare un po’ e ritrovarsi tuttx insieme dopo le feste. 
Uno degli obiettivi di questa serata sarà anche dare una mano a supportare le spese legali di alcunx compagnx e le attività politiche e culturali del Bread and Roses.

Spargete la voce e ci vediamo lì!","le feste, e lasciandoci alle spalle questa bellissima 5ª edizione del Manine di Lucertolona Fest è il momento di rilassarsi e chiudere in bellezza:
✨DOMANI✨ vi aspettiamo al Bread&Roses per una serata tutta in vinile!

Dal @talomedz.records (locale/negozio di vinili e luogo di incontro x musicist saranno con noi Ghiyassodin, Giuls e Talimedz per una selezione di vinili, perfetta per staccare un po’ e ritrovarsi tuttx insieme dopo le feste. 
Uno degli obiettivi di questa serata sarà anche dare una mano a supportare le spese legali di alcunx compagnx e le attività politiche e culturali del Bread and Roses.

Spargete la voce e ci vediamo lì!"
132,🎹 I heard it through the grapevine - Secolare Festival,"30.12.2024 | 20:00 - 23:30
",Fedeli alla Vigna,"
Quale modo migliore per santificare le Feste che rievocare il Secolare Festival a suon di calici di Fedeli alla Vigna?

I heard it through the grapevine è la rassegna natalizia che, tra buona musica e buon vino, ci accompagnerà verso il nuovo anno.

Secondo appuntamento lunedì 30 dicembre dalle ore 20, in via Andria 6/8 a Corato, con Vinxanity + Orson.

L'ingresso è libero, i buoni propositi obbligatori.

Vi aspettiamo!"
133,👾 Plancia...di Natale!,27.12.2024 | 20:00 - 23:59,"APS La Plancia Piena

Potevamo lasciarvi soli nel periodo più giocoso dell'anno? A Natale la Plancia si trasforma di nuovo, pronta ad accogliervi con tanti giochi a tema, premi i palio e attività a squadre! Inoltre vi regaliamo la possibilità di sfoggiare il vostro peg...MIGLIORE! maglione natalizio per portarvi a casa il premio in palio per il contest! 

Ingresso gratuito
Start ore 20",
134,"🧶 🦎 Manine di Lucertolona Fest - Winter Edition 🦎`
",27.12.2024 | 17:00 - 28.12.2024 | 02:00,"Bread&Roses, Bari (BA), via Amendola 189/a

ABEMUS LUCERTOLE e PROGRAMMA del Manine 🤺

cercheremo sempre di essere puntuali nel programma, ma abitando un tempo ed uno spazio di esistenza sempre incerto e caotico, non possiamo mentirvi sull’assoluta certezza al minuto di questi orari. Chi lo fa vi mente!!!

Qui nomi delle lucertoline che al freddo di un Natale passato ci delizieranno con la loro presenza, i loro artefatti, le loro proposte di opere indelebili su pelle, la loro dolce musica, ecc!!

Lo spazio chiude alle 02 MAX, per permetterci di riposare per il giorno dopo. 
Vi ricordiamo, come se non lo avessimo mai fatto, che il @breadandrosesbari è un bene comune e uno spazio di mutuo soccorso AUTOGESTITO: chiunque lo attraversi ha la responsabilità del luogo in cui si trova. Amiamolo e rispettiamolo, così come tutte le persone che ci sono dentro, aiutiamoci tutt 💓🤞🏻

Beh!!! A tra pochissimo!!!"," via Amendola 189/a

ABEMUS LUCERTOLE e PROGRAMMA del Manine 🤺

cercheremo sempre di essere puntuali nel programma, ma abitando un tempo ed uno spazio di esistenza sempre incerto e caotico, non possiamo mentirvi sull’assoluta certezza al minuto di questi orari. Chi lo fa vi mente!!!

Qui nomi delle lucertoline che al freddo di un Natale passato ci delizieranno con la loro presenza, i loro artefatti, le loro proposte di opere indelebili su pelle, la loro dolce musica, ecc!!

Lo spazio chiude alle 02 MAX, per permetterci di riposare per il giorno dopo. 
Vi ricordiamo, come se non lo avessimo mai fatto, che il @breadandrosesbari è un bene comune e uno spazio di mutuo soccorso AUTOGESTITO: chiunque lo attraversi ha la responsabilità del luogo in cui si trova. Amiamolo e rispettiamolo, così come tutte le persone che ci sono dentro, aiutiamoci tutt 💓🤞🏻

Beh!!! A tra pochissimo!!!"
135,"🎹 🦎 Manine di Lucertolona Fest (winter edition) 🦎`
",27.12.2024 | 16:30 - 28.12.2024 | 01:30,"Bread&Roses, Bari (BA), via Amendola 189/a

Ciao Lucertolone!!! Questa è la line-up di Manine winter edition 2024!! 

Manca poco al festival di autoproduzioni più atteso del sud Italia che si tiene come ogni anno al @breadandrosesbari il 27 e il 28 dicembre !!
Tra poco vi diremo anche (e soprattutto) quante e quali lucertole parteciperanno con i loro magici banketti!! Nel frattempo stay tuned!! Manca poco 🌺💕🎀

Musica a cura di LocaleDischi

Ingresso con offerta libera (libera x davvero!!)"," via Amendola 189/a

Ciao Lucertolone!!! Questa è la line-up di Manine winter edition 2024!! 

Manca poco al festival di autoproduzioni più atteso del sud Italia che si tiene come ogni anno al @breadandrosesbari il 27 e il 28 dicembre !!
Tra poco vi diremo anche (e soprattutto quante e quali lucertole parteciperanno con i loro magici banketti!! Nel frattempo stay tuned!! Manca poco 🌺💕🎀

Musica a cura di LocaleDischi

Ingresso con offerta libera (libera x davvero!!"
136,❔ Natale in Libertà!,23.12.2024 | 16:00 - 23:30,"Giardino Mimmo Bucci, Via Don Bosco 22, Bari

II 23 Dicembre ci vediamo a partire dalle 16 al Giardino Mimmo Bucci per accogliere le feste di Natale!

Ci saranno banchetti in cui conoscere molte delle realtà con cui collabora l'Associazione Giustizia Climatica Ora (che ha in gestione il Chiosco nel Giardino Mimmo Bucci), ma anche qualche piccola sorpresa per realizzare gli ultimi regali di Natale (ecologici e sostenibili), attività creative e ricreative per persone piccole e non, musica e giochi per tutt3!

Si terrà un Laboratorio per bambini da 6 a 10 anni per scoprire il mondo delle api e l'alleanza con l'essere umano, oltre a divertirci addobbando gli alberi del giardino con decorazioni che realizzeremo insieme a partire da materiali di riciclo.

Ci scambieremo gli auguri nella cornice di un giardino che è vivo e amato dalla comunità del Libertà!

L'ingresso è libero... e in libertà!

Per più info, su... [continua a leggere"," ma anche qualche piccola sorpresa per realizzare gli ultimi regali di Natale (ecologici e sostenibili, attività creative e ricreative per persone piccole e non, musica e giochi per tutt3!

Si terrà un Laboratorio per bambini da 6 a 10 anni per scoprire il mondo delle api e l'alleanza con l'essere umano, oltre a divertirci addobbando gli alberi del giardino con decorazioni che realizzeremo insieme a partire da materiali di riciclo.

Ci scambieremo gli auguri nella cornice di un giardino che è vivo e amato dalla comunità del Libertà!

L'ingresso è libero... e in libertà!

Per più info, su... [continua a leggere](https://www.apuliacore.org/evento/1a12700c-d364-4a41-8c6c-cbd3babfb7cb"
137,"🎹 Elettrostation`
",19.12.2024 | 22:00 - 20.12.2024 | 03:00,"Devilangel

STASERA
Giovedì 19/12/ 2024

☠️ELETTROSTATION☠️

🏁22h

Selezioni musicali elettronica / sperimentale/house/groove/techno

@mikmoog_michele_sciacovelli

@_mental.rash_ 

Free ENTRY

@devilangel_n30
Via Garrone 30.BARI",
138,🎹 I heard it through the grapevine,22.12.2024 | 11:00 - 14:00,"Fedeli alla Vigna, Via Andria 6, Corato (BA)

Quale modo migliore per santificare le Feste che rievocare il Secolare Festival a suon di calici di Fedeli alla Vigna?

I heard it through the grapevine è la rassegna natalizia che, tra buona musica e buon vino, ci accompagnerà verso il nuovo anno.

Primo appuntamento domenica 22 dicembre dalle ore 11, in via Andria 6/8 a Corato, con Paolo Ruggiero.

L'ingresso è libero, i buoni propositi obbligatori.

Vi aspettiamo!","
Quale modo migliore per santificare le Feste che rievocare il Secolare Festival a suon di calici di Fedeli alla Vigna?

I heard it through the grapevine è la rassegna natalizia che, tra buona musica e buon vino, ci accompagnerà verso il nuovo anno.

Primo appuntamento domenica 22 dicembre dalle ore 11, in via Andria 6/8 a Corato, con Paolo Ruggiero.

L'ingresso è libero, i buoni propositi obbligatori.

Vi aspettiamo!"
139,"🎹 CLIMAX 110%`
",22.12.2024 | 18:00 - 23.12.2024 | 00:00,"Info point, Altamura (BA)

Sara & The Synthomatics, nu soul live music + dj set

https://www.instagram.com/synthomatics?igsh=MTJ4MHhzaHY2bXg0

https://www.instagram.com/p/DDcICaCg1jW/?igsh=OWhhZmdzbm5lZTJo","
Sara & The Synthomatics, nu soul live music + dj set

https://www.instagram.com/synthomatics?igsh=MTJ4MHhzaHY2bXg0

https://www.instagram.com/p/DDcICaCg1jW/?igsh=OWhhZmdzbm5lZTJo"
140,"🎹 JAZZSET`
",21.12.2024 | 20:30,"Club 1799, Acquaviva delle Fonti (BA)
","📅23.12.2024 | 20:30
Club 1799
📅26.12.2024 | 20:30
Club 1799
📅28.12.2024 | 20:30
Club 1799

https://www.instagram.com/club.1799?igsh=cTgwM3JqZjcwY2lz"
141,"📖 SPINE NEL FIANCO 2014-2024 - Dieci anni pronunciati male`
",20.12.2024 | 10:00,,
142,"🎹 Arrago`
",20.12.2024 | 21:30 - 21.12.2024 | 00:30,"Circolo Arci Resilienza, Bitonto (Ba)

La rabbia, l'alterco, la zuffa, lo scontro, la furia cieca, il tafferuglio, l'acceso diverbio, il bisticcio, il conflitto, la baruffa, lo scornamento, la pugna, la singolar tenzone, il jibillero:
L'ARRAGO

INGRATO/OTITE: noise rock/emocore da Bari

MONDAZE: shoegaze da Faenza","
La rabbia, l'alterco, la zuffa, lo scontro, la furia cieca, il tafferuglio, l'acceso diverbio, il bisticcio, il conflitto, la baruffa, lo scornamento, la pugna, la singolar tenzone, il jibillero:
L'ARRAGO

INGRATO/OTITE: noise rock/emocore da Bari

MONDAZE: shoegaze da Faenza"
143,"🎥 Tombolata Cinematografica - Una serata dedicata alla settima arte!`
",18.12.2024 | 20:30 - 22:30,"Officina degli Esordi, Bari (BA)

Siete pronti/e a un'esperienza unica tra cinema e tradizione?
Le associazioni La Scatola Blu e l’Armata Brancaleone vi invitano alla 𝐓𝐨𝐦𝐛𝐨𝐥𝐚𝐭𝐚 𝐂𝐢𝐧𝐞𝐦𝐚𝐭𝐨𝐠𝐫𝐚𝐟𝐢𝐜𝐚!

𝐂𝐨𝐬'𝐞̀ 𝐮𝐧𝐚 𝐭𝐨𝐦𝐛𝐨𝐥𝐚𝐭𝐚 𝐜𝐢𝐧𝐞𝐦𝐚𝐭𝐨𝐠𝐫𝐚𝐟𝐢𝐜𝐚?
Ad ogni numero corrisponderà l'immagine di una locandina di un film iconico, rivisitata in chiave smorfia napoletana. E per rendere tutto ancora più speciale, ad ambo, terna e altre combinazioni proietteremo i trailer esclusivi dei film in uscita nella prossima stagione cinematografica.

Ci saranno tantissimi premi in palio.

Contributo di 5 € per rendere ancora più belle le attività delle nostre associazioni e la prima consumazione al bar la offriamo noi (birra piccola, bibita o acqua)

𝐏𝐫𝐞𝐧𝐨𝐭𝐚𝐭𝐞 𝐢𝐥 𝐯𝐨𝐬𝐭𝐫𝐨 𝐩𝐨𝐬𝐭𝐨 𝐪𝐮𝐢: https://bit.ly/TombolataCinematografica2024","
Siete pronti/e a un'esperienza unica tra cinema e tradizione?
Le associazioni La Scatola Blu e l’Armata Brancaleone vi invitano alla 𝐓𝐨𝐦𝐛𝐨𝐥𝐚𝐭𝐚 𝐂𝐢𝐧𝐞𝐦𝐚𝐭𝐨𝐠𝐫𝐚𝐟𝐢𝐜𝐚!

𝐂𝐨𝐬'𝐞̀ 𝐮𝐧𝐚 𝐭𝐨𝐦𝐛𝐨𝐥𝐚𝐭𝐚 𝐜𝐢𝐧𝐞𝐦𝐚𝐭𝐨𝐠𝐫𝐚𝐟𝐢𝐜𝐚?
Ad ogni numero corrisponderà l'immagine di una locandina di un film iconico, rivisitata in chiave smorfia napoletana. E per rendere tutto ancora più speciale, ad ambo, terna e altre combinazioni proietteremo i trailer esclusivi dei film in uscita nella prossima stagione cinematografica.

Ci saranno tantissimi premi in palio.

Contributo di 5 € per rendere ancora più belle le attività delle nostre associazioni e la prima consumazione al bar la offriamo noi (birra piccola, bibita o acqua

𝐏𝐫𝐞𝐧𝐨𝐭𝐚𝐭𝐞 𝐢𝐥 𝐯𝐨𝐬𝐭𝐫𝐨 𝐩𝐨𝐬𝐭𝐨 𝐪𝐮𝐢: https://bit.ly/TombolataCinematografica2024"
144,🎨 Festa Dei Popoli,15.12.2024 | 17:00 - 21:00,"Modugno 

🎶 Torna la Festa Dei Popoli nella sua veste invernale, musicata da più artisti che si esibiranno nel teatro all'aperto della Villa Comunale di Modugno.

🌍 on numerose associazioni in rappresentanza del mondo, che offriranno danze, cucina e artigianato.
📞info: 366339036 (ass. Abusuan)",
145,"🎹 Z.E.R.O. capitolo 4! Comrad release party + Cafe Bizarre, James Landed e Carlo Chicco dj set`
",13.12.2024 | 21:00 - 14.12.2024 | 00:00,"Accademia del Cinema Ragazzi di San Pio, Bari (BA)

Un evento più unico che raro: release party dell’ultimo disco dei Comrad!  🤘

🎸Insieme a loro, sul palco dell’Auditorium dell’Accademia del Cinema Ragazzi, anche i Café Bizarre e James Landed. Arricchirà la serata il dj set di Carlo Chicco. 

Ci vediamo lì! 🔥","
Un evento più unico che raro: release party dell’ultimo disco dei Comrad!  🤘

🎸Insieme a loro, sul palco dell’Auditorium dell’Accademia del Cinema Ragazzi, anche i Café Bizarre e James Landed. Arricchirà la serata il dj set di Carlo Chicco. 

Ci vediamo lì! 🔥"
146,"🎹 Elettrostation`
",12.12.2024 | 22:00,"Devilangel bari via Garrone 30
",
147,🎹 LA IOSA // concerti + dj set,14.12.2024 | 21:30 - 03:30,"Le Macerie - Baracche Ribelli, Molfetta (BA)

LA IOSA
...e questa non può togliercela nessunx 

Sabato 14 dicembre ci vediamo nel nostro/vostro tendone di fiducia per l'ultima serata live del 2024, con un menù completo di 3 band fra le migliori nuove leve della nostra scena underground locale. Insomma sarà una serata di gran festa con un unico obiettivo comune: FARE LA IOSA

live dalle 21.30

LIT UP FUSE (Techno Punk Riot)

INGRATO/OTITE (Noise Emocore)

COMMA (Math Rock)

a seguire dj set aftershow by 
BRUNO CAMA 

🍺 Area Food & Drink always open!

🔔 LE MACERIE BARACCHE RIBELLI è un'area ANTIFASCISTA E ANTIRAZZISTA che basa il suo essere sull'autogestione e mutua cooperazione da quasi 20 anni
RESPECT THE PLACE & THE PEOPLE 
TIENI PULITO

🔔 Nel posto vive una colonia felina curata - tieni a casa il cane o vicino a te per quanto possibile!","
LA IOSA
...e questa non può togliercela nessunx 

Sabato 14 dicembre ci vediamo nel nostro/vostro tendone di fiducia per l'ultima serata live del 2024, con un menù completo di 3 band fra le migliori nuove leve della nostra scena underground locale. Insomma sarà una serata di gran festa con un unico obiettivo comune: FARE LA IOSA

live dalle 21.30

LIT UP FUSE (Techno Punk Riot

INGRATO/OTITE (Noise Emocore

COMMA (Math Rock

a seguire dj set aftershow by 
BRUNO CAMA 

🍺 Area Food & Drink always open!

🔔 LE MACERIE BARACCHE RIBELLI è un'area ANTIFASCISTA E ANTIRAZZISTA che basa il suo essere sull'autogestione e mutua cooperazione da quasi 20 anni
RESPECT THE PLACE & THE PEOPLE 
TIENI PULITO

🔔 Nel posto vive una colonia felina curata - tieni a casa il cane o vicino a te per quanto possibile!"
148,"❔ 🎄APERITIVO NATALIZIO A ZONA FRANKA🎄`
",12.12.2024 | 18:30 - 23:30,"Via Dalmazia 35 Bari (BA)

🎅Non senti ancora l’atmosfera natalizia? La sessione è alle porte e hai bisogno di staccare per qualche ora? 

🥳Allora vieni a Zona Franka per l'aperitivo natalizio con Spritz a 1€, pettole e musica!

💳 Ingresso gratuito con tessera ARCI


https://www.instagram.com/share/_eMUfcaI-","
🎅Non senti ancora l’atmosfera natalizia? La sessione è alle porte e hai bisogno di staccare per qualche ora? 

🥳Allora vieni a Zona Franka per l'aperitivo natalizio con Spritz a 1€, pettole e musica!

💳 Ingresso gratuito con tessera ARCI


https://www.instagram.com/share/_eMUfcaI-"
149,"🎹 Jazz set, Aldo Di Caterino ensemble e Enrico Pieranunzi`
",15.12.2024 | 20:30 - 22:30,"Teatro Luciani, Acquaviva (BA)

https://teatroluciani.anchecinema.18tickets.it/film/18801","
https://teatroluciani.anchecinema.18tickets.it/film/18801"
150,"🎹 Jam Session al Nevermind Music Club`
",11.12.2024 | 20:30 - 12.12.2024 | 00:30,"Nevermind Music Club - Via M. Amoruso 72/7b, Bari

Band in apertura: Winstoned",
151,"🎭 Stand Up EKÒMEDY - Special Guest + Open Mic`
",08.12.2024 | 20:00 - 21:00,"eKoinè Ri-pub, via A. De Ferraris 49, 70124, Bari (BA)

Un Open Mic e un ospite speciale per regalarvi una serata all’insegna del divertimento. Comici che provano battute, cattiverie, insulti e un ospite speciale che ci condannerà all’inferno. Tutto solo per farvi ridere.
Evento gratuito, posti a sedere e in piedi disponibili","
Un Open Mic e un ospite speciale per regalarvi una serata all’insegna del divertimento. Comici che provano battute, cattiverie, insulti e un ospite speciale che ci condannerà all’inferno. Tutto solo per farvi ridere.
Evento gratuito, posti a sedere e in piedi disponibili"
152,"🎹 Carmelo Pipitone (Marta sui Tubi) live con Max Codeluppi`
",01.12.2024 | 21:00 - 02.12.2024 | 00:00,"Accademia del Cinema Ragazzi, Bari San Pio (Bari)

L'Accademia del Cinema Ragazzi e il Birrificio Fuori Orario accolgono Carmelo Pipitone, chitarrista siciliano dei Marta sui Tubi,accompagnato dal chitarrista Max Codeluppi, per un concerto unico promosso dall'Associazione Disaccordi. 

Pipitone presenta il suo nuovo album “Piedi in acqua”, un viaggio musicale intimo che narra, con 13 brani, le emozioni degli ultimi quattro anni.","
L'Accademia del Cinema Ragazzi e il Birrificio Fuori Orario accolgono Carmelo Pipitone, chitarrista siciliano dei Marta sui Tubi,accompagnato dal chitarrista Max Codeluppi, per un concerto unico promosso dall'Associazione Disaccordi. 

Pipitone presenta il suo nuovo album “Piedi in acqua”, un viaggio musicale intimo che narra, con 13 brani, le emozioni degli ultimi quattro anni."
153,"iaooo 💜
stiamo provando un nuovo bot Telegram e un sito web che nei prossimi mesi faranno funzionare questo progetto e (speriamo!) lo renderanno ancora più bello ✨ 
se nei prossimi giorni vorrete provare a pubblicare eventi con il nuovo bot e darci feedback, potrete aiutarci a capire se tutto fila liscio e anche cosa vi piace e cosa no 🤞
buon weekend e buoni eventiii",,,
154,"✊ Benny Vive`
",28.11.2024 | 17:30 - 19:30,"Largo Chiurlia, Bari (BA)

Una giornata per riflettere su come il fascismo possa ammazzare di botte un qualunque 18enne barese.

📖 A Barivecchia, letteratura, dialogo e musica per l'occasione.

🪗 Alle 19:00 il concerto del Cantiere Comune Mediterraneo per cantare contro le repressioni.","
Una giornata per riflettere su come il fascismo possa ammazzare di botte un qualunque 18enne barese.

📖 A Barivecchia, letteratura, dialogo e musica per l'occasione.

🪗 Alle 19:00 il concerto del Cantiere Comune Mediterraneo per cantare contro le repressioni."
155,"🎹 Sara e The Synthomatics feat. Aldo di Canterino
Nu soul live music`
",01.12.2024 | 18:00 - 22:00,"Bottega Del Luppolo, via G. Almirante, Altamura (BA)

https://www.instagram.com/synthomatics/profilecard/?igsh=MTJ4MHhzaHY2bXg0","
https://www.instagram.com/synthomatics/profilecard/?igsh=MTJ4MHhzaHY2bXg0"
156,"🎭 Stand Up Ekòmedy - FRITTO MISTO`
",24.11.2024 | 20:00 - 21:00,"eKòine Ri-Pub, via A. De Ferraris 49, Bari (BA)

Evento gratuito, 4 comici pugliesi, 1 MC e tante risate. Vienici a trovare in uno dei pub più frequentati per una serata all’insegna della scorrettezza.
Line Up: Giacomo Cartesio, Beatrice Di Leo, Toni Chiancarella, Tommaso Pavone. MC: Marco Uva","
Evento gratuito, 4 comici pugliesi, 1 MC e tante risate. Vienici a trovare in uno dei pub più frequentati per una serata all’insegna della scorrettezza.
Line Up: Giacomo Cartesio, Beatrice Di Leo, Toni Chiancarella, Tommaso Pavone. MC: Marco Uva"
157,"👾 ""UNA STORIA A FUMETTI"" - Incontro firmacopie con Alessandro Baronciani prima del concerto`
",30.11.2024 | 18:30 - 20:30,"Spine Bookstore c/o Officina degli Esordi, Bari (BA)

Sabato 30 Novembre, in Officina degli Esordi, la tappa pugliese del live ""Un giorno da psychodonna. Concerto Disegnato"", ovvero Rachele Bastreghi (Baustelle) con Alessandro Baronciani in live drawing e la musica di Mario Conte, per la rassegna ""MUSE"" del Locus Festival.

In quell'occasione, per accontentare i lettori baresi, prima dello show serale, alle 18.30 incontriamo Alessandro con SPINE Bookstore per una presentazione firmacopie di ""Una storia a fumetti"", nella sua nuova edizione ora pubblicata con Bao Publishing.
A dialogare con l'autore, ci sarà Giorgia Antonelli (LiberAria).
https://facebook.com/events/s/una-storia-a-fumetti-incontro-/1080819800038340/","
Sabato 30 Novembre, in Officina degli Esordi, la tappa pugliese del live ""Un giorno da psychodonna. Concerto Disegnato"", ovvero Rachele Bastreghi (Baustelle con Alessandro Baronciani in live drawing e la musica di Mario Conte, per la rassegna ""MUSE"" del Locus Festival.

In quell'occasione, per accontentare i lettori baresi, prima dello show serale, alle 18.30 incontriamo Alessandro con SPINE Bookstore per una presentazione firmacopie di ""Una storia a fumetti"", nella sua nuova edizione ora pubblicata con Bao Publishing.
A dialogare con l'autore, ci sarà Giorgia Antonelli (LiberAria.
https://facebook.com/events/s/una-storia-a-fumetti-incontro-/1080819800038340/"
158,"🎥 Cortocircuiti Short Film Festival - II Parte - Autunno`
",24.11.2024 | 19:00,"Spazio13
",
159,"🎹 Couchgaggzzz + Ristobaby +
Mr.Bogo Dj set @Rassegna
Z.E.R.O.`
",22.11.2024 | 21:00 - 23.11.2024 | 00:00,"Accademia del Cinema Ragazzi, San Pio, Bari (BA)

🔥 𝗭.𝗘.𝗥.𝗢. porta sul palco il meglio del rock barese! 
 
👉 𝗥𝗶𝘀𝘁𝗼𝗯𝗮𝗯𝘆 Tra le band più irriverenti di Bari. Con riff pesanti, testi schizzati e un’energia contagiosa, vi racconteranno storie di crostate, gufi e automobilisti sconsiderati.

👉 𝗖𝗼𝘂𝗰𝗵𝗴𝗮𝗴𝘇𝘇𝘇 Garage punk e synth rock che vi travolgerà come una scarica elettrica! I Couchgagzzz, con il loro nuovo album ""GOSPORTS!!!"", sono l'inno alla ribellione e al “non ci importa niente”.
 
🎧 A chiudere la serata, Mr Bogo con un dj set a base di dischi in 100% puro vinile, condito con punk, rock e chicche vintage.","
🔥 𝗭.𝗘.𝗥.𝗢. porta sul palco il meglio del rock barese! 
 
👉 𝗥𝗶𝘀𝘁𝗼𝗯𝗮𝗯𝘆 Tra le band più irriverenti di Bari. Con riff pesanti, testi schizzati e un’energia contagiosa, vi racconteranno storie di crostate, gufi e automobilisti sconsiderati.

👉 𝗖𝗼𝘂𝗰𝗵𝗴𝗮𝗴𝘇𝘇𝘇 Garage punk e synth rock che vi travolgerà come una scarica elettrica! I Couchgagzzz, con il loro nuovo album ""GOSPORTS!!!"", sono l'inno alla ribellione e al “non ci importa niente”.
 
🎧 A chiudere la serata, Mr Bogo con un dj set a base di dischi in 100% puro vinile, condito con punk, rock e chicche vintage."
